gene,p_value,fold_change
211726_s_at,5.4969164307111886e-08,-1.0915297474061885
211699_x_at,5.6366454770825574e-08,-1.0907799524715416
203397_s_at,5.7348185202772734e-08,1.090263652842643
203337_x_at,5.776143525597004e-08,-1.090048831722037
203851_at,5.9250565772755684e-08,-1.089286673456794
203358_s_at,5.980552038176497e-08,1.0890072925425318
201842_s_at,6.706769882198066e-08,-1.0855624018222905
202202_s_at,6.716596563460754e-08,-1.085518266917016
202071_at,6.845285873325513e-08,1.084945879721485
204271_s_at,6.959764754875977e-08,-1.0844452339541317
205709_s_at,7.134295461440278e-08,1.0836968370056823
201952_at,7.152850649286712e-08,1.0836182978802125
209513_s_at,7.489586361965189e-08,-1.0822256628823368
212282_at,7.628741500707329e-08,1.0816674744191976
221131_at,8.167329374845488e-08,-1.0795945837733942
204537_s_at,8.603398623543464e-08,-1.0780093581974388
210869_s_at,8.645205166835893e-08,-1.0778614162453253
222161_at,8.936969558009102e-08,-1.0768474843456017
218502_s_at,9.518724890640659e-08,1.0749164076690585
210762_s_at,1.0089089996476211e-07,-1.0731290973870204
208607_s_at,1.0186745717442509e-07,-1.0728327448043715
200878_at,1.0392406618013468e-07,-1.0722173616647732
219093_at,1.0511869772289015e-07,-1.071865193173834
212134_at,1.0548802875310593e-07,-1.0717570864570527
213605_s_at,1.0586148939489707e-07,1.071648136021727
213236_at,1.0729237254585542e-07,-1.0712340541804468
213397_x_at,1.1022919169730414e-07,-1.070400357097479
202193_at,1.1100517995457338e-07,1.07018359651051
202309_at,1.1319379795380887e-07,-1.0695799061779516
203476_at,1.1608946561458749e-07,1.0687980083498252
204018_x_at,1.1801330258584717e-07,-1.0682887064376811
210299_s_at,1.3965180368129e-07,-1.0630476940493603
210740_s_at,1.4576774735331096e-07,-1.0617062454058657
213309_at,1.5025621006435805e-07,-1.0607553457990704
214677_x_at,1.5319689974392402e-07,1.060146863760979
201785_at,1.5986265671523e-07,-1.0588076611422306
213765_at,1.6184166147977673e-07,-1.0584202628015524
203881_s_at,1.6357974040372425e-07,-1.0580837178471993
206101_at,1.735057709697381e-07,-1.0562244394663118
214705_at,1.7747482571459855e-07,1.0555091101011636
207071_s_at,1.8015734760538957e-07,-1.0550341967365
200973_s_at,1.8079538939135607e-07,-1.0549222261682107
210832_x_at,1.8578490717640176e-07,-1.054059324112031
209173_at,1.8946846839652e-07,1.0534362760205722
201448_at,1.9619649634636415e-07,1.0523273800051005
203814_s_at,1.9659620115873044e-07,-1.052262642621444
206385_s_at,1.970405838089539e-07,1.052190815526192
203680_at,2.0942016866198828e-07,-1.0502492541833481
215039_at,2.1204107648830218e-07,-1.0498522041058722
202782_s_at,2.15228828309467e-07,-1.049375509033578
211026_s_at,2.1593867611726335e-07,-1.049270270925779
218665_at,2.2624154365520357e-07,-1.0477786871849375
201005_at,2.3028563062823688e-07,1.0472107586971724
209485_s_at,2.3756155517403337e-07,-1.0462123839787267
201664_at,2.3891895947997403e-07,1.0460293416894415
202942_at,2.4125130249922357e-07,-1.0457171226769886
202982_s_at,2.4582359032628346e-07,-1.0451132734464157
45297_at,2.492588405502196e-07,-1.0446665571629818
209604_s_at,2.536749316536597e-07,1.0441007935536541
211922_s_at,2.6898634895370173e-07,-1.0422090092534415
213793_s_at,2.7777412897368144e-07,1.0411688675895758
212122_at,2.8490724798908857e-07,-1.0403472663039663
203296_s_at,2.9112573930607614e-07,-1.0396467713405246
203336_s_at,2.9895798521626664e-07,-1.038784404112006
213226_at,3.0655020292609023e-07,1.037968669266865
204363_at,3.112445664517293e-07,-1.0374738186106094
212230_at,3.136065235922263e-07,-1.0372275049447288
203642_s_at,3.141978054657888e-07,-1.0371661190902528
211458_s_at,3.335016079060288e-07,-1.0352198923101805
208186_s_at,3.388628592792738e-07,-1.0346983090250088
201325_s_at,3.4113543124108754e-07,-1.0344795723256253
202862_at,3.5863836576964366e-07,-1.0328397404144831
209086_x_at,3.5927194845340825e-07,-1.032781813765973
220327_at,3.6911799749927086e-07,-1.0318938443292236
208029_s_at,3.735813001277901e-07,1.031498689339946
203038_at,3.8405646447961414e-07,1.0305885690934236
202712_s_at,3.983135110164008e-07,1.0293869411894043
210946_at,4.088877190300737e-07,-1.0285217494543946
218651_s_at,4.1928378349314125e-07,-1.0276915529289798
205208_at,4.317688023621418e-07,-1.026719929306168
200895_s_at,4.384225966433388e-07,1.0262129272513563
218009_s_at,4.38736426390757e-07,1.0261891945911414
201885_s_at,4.550097854151095e-07,-1.0249800763160857
219054_at,4.7174419578474197e-07,-1.0237786804968616
222043_at,4.7329393559109586e-07,-1.0236694718946824
209894_at,4.805161779320667e-07,-1.0231649523626012
205608_s_at,4.985847750453222e-07,-1.0219335304026318
202976_s_at,5.201261132066736e-07,-1.0205194863960891
217794_at,5.218675475437606e-07,1.020407607770312
202990_at,5.285578465874402e-07,-1.019981050638643
214212_x_at,5.292568583887962e-07,-1.0199367786607727
210046_s_at,5.389200694161848e-07,1.0193303646837175
213502_x_at,5.392741360371325e-07,1.0193083412745845
