symbol,gene,p_value,log2FC,p_adj,significant
ABCD1,205142_x_at,0.2186412621054584,-0.1996494512868665,0.49805594392720604,False
ABCD1P2 /// ABCD1P2,216418_at,0.5396691924985766,-0.09196938738287308,0.7661961526884857,False
ABCD2,207583_at,0.001039189222946543,-0.6530809856456408,0.019426387126608907,True
ABCD3,202850_at,0.004648586223495019,0.4756261760902447,0.0557205200743085,False
ABCD4,203981_s_at,0.0010672004097657122,-0.6616906063931669,0.01980052184080713,True
ABCE1,201872_s_at,0.028989994823487356,0.3163967762538391,0.17141907978808524,False
ABCF1,200045_at,0.24927038498241133,-0.1894320946941388,0.5325495674557116,False
ABCF2,214232_at,0.04217543654785469,-0.26887668853899793,0.21048045970791623,False
ABCF3,202394_s_at,0.3182153932387112,-0.20452599896860768,0.5975565818238545,False
ABCG1,204567_s_at,0.27045874953845983,0.16449119225351438,0.5544540055313986,False
ABCG2,209735_at,0.29849493913672137,-0.16724319850081493,0.5790786489192087,False
ABCG4,207593_at,0.3451599812518046,0.1629174985567925,0.6203243080567368,False
ABCG5,220383_at,0.03264162791621467,-0.313855294006979,0.1831726665711132,False
ABHD10,218633_x_at,0.24836567591981432,-0.12836849724643784,0.5313299113403631,False
ABHD11,221927_s_at,0.16261803219772492,0.31555234536762455,0.43081888140077335,False
ABHD14A /// ACY1,210006_at,0.04655993595697377,-0.1899993414477379,0.22273401737424783,False
ABHD14A-ACY1 /// ACY1,202740_at,0.5966889401439731,-0.0958644366056518,0.8026699823657504,False
ABHD17A,221267_s_at,0.0628386674411641,-0.2739001995132364,0.26069099602722967,False
ABHD17B,220285_at,0.09247574754975053,0.3146528043550063,0.321522403284614,False
ABHD2,63825_at,0.09970630747293546,0.34955127023183685,0.33389775314388653,False
ABHD3,213017_at,0.2953431351369337,0.16861145633494523,0.5765841142681176,False
ABHD4,218581_at,0.00021041438952406,-0.37201523717525475,0.00593501752122105,True
ABHD5,213935_at,5.097942175267287e-05,-0.7373395285673254,0.0018776437271319168,True
ABHD6,45288_at,1.4281205825729682e-05,-0.8366229920565083,0.0006588573693886844,True
ABHD8,219101_x_at,0.16528281595998495,-0.2819667314142009,0.43390633695055897,False
ABI1,209028_s_at,0.0022691051455541477,0.4097518491133716,0.03427964064975123,True
ABI2,216113_at,0.0689615530494129,-0.20268333626795076,0.2745491232078785,False
ABI3BP,220518_at,0.9930057269125369,0.0010347318121901594,0.9976151282335668,False
ABL1,202123_s_at,0.07276023001915259,-0.36888250428123825,0.28284671133640693,False
ABL2,206411_s_at,0.16817142733132526,-0.17833555199759132,0.43752059722404213,False
ABLIM1,200965_s_at,0.0003449246217672969,-0.5184353064002991,0.008724126386879315,True
ABLIM3,205730_s_at,7.638800952577366e-05,-0.6518247349735713,0.0026587378113256633,True
ABO,216929_x_at,0.0009144672942249726,-0.4943395247195568,0.01776554029399744,True
ABR,212895_s_at,0.19962477392746714,-0.16570256135515748,0.4754931948076697,False
ABT1,218405_at,0.34735619694984776,-0.2092924672433849,0.6220975837191334,False
ABTB2,213497_at,0.5104698709647051,0.12802757543967758,0.7460304055878667,False
AC002310.7 /// ZNF785,213525_at,0.7232066451852972,0.08688524097983841,0.8727910352396002,False
AC003989.4,216564_at,0.36714209835662437,-0.18457852511988015,0.6370276887760195,False
AC004490.1 /// AX746733,214854_at,0.03882958598867206,-0.27530941896723693,0.20192290888811656,False
AC004692.5,217313_at,0.9546568287967184,0.011769046878598033,0.9806891850716297,False
AC004941.5,217027_x_at,0.4627969934270957,-0.11626349418868642,0.712632534347037,False
AC005838.2,216003_at,0.6163256980504905,0.09129561946000386,0.8134564668399621,False
AC007292.3,208301_at,0.27650936430330153,-0.18849034424722078,0.5600307366633765,False
AC007389.3,216849_at,0.3385695931149004,-0.17448274863037128,0.6148611445296924,False
AC007967.3 /// RBMY2TP /// RBMY2TP,216842_x_at,0.22254301721612998,-0.3077054637658083,0.5033617051602999,False
AC009237.8 /// AK055967,206659_at,0.9900281732637717,0.0019086152282099533,0.9961960928753522,False
AC009947.3 /// RBMY2AP /// RBMY2AP /// RBMY2BP /// RBMY2BP /// RBMY2DP /// RBMY2DP,207916_at,0.47579743295412924,-0.13814166107095183,0.721235525659298,False
AC012065.7,214238_at,0.23716371462904007,-0.1956055129918539,0.519025638683844,False
AC068039.4,216110_x_at,0.5592861783992991,-0.10052348157232949,0.77788988910003,False
AC074212.6,217062_at,0.17582035474410698,-0.15427094616855008,0.4469026414256495,False
AC084219.3,216991_at,0.1866407265079209,-0.231444185258999,0.45968186958430507,False
